Epoch,Train Loss,Val Loss,Train Dice,Val Dice
1,0.12052982071638108,0.1363955402970314,0.01318197350144801,0.7580643769800663
2,0.11778132048994303,0.12173333645612001,0.01318197350144801,0.7829835265874863
3,0.11718472539186478,0.12455927675962448,0.01318197350144801,0.777233373939991
4,0.11403343880176545,0.1205815921574831,0.01318197350144801,0.7846413464844226
5,0.11158375321403145,0.12111243955045939,0.01318197350144801,0.7839844186306
6,0.1099760481275618,0.11582230452448129,0.01318197350144801,0.7927756834626197
7,0.11020643741488456,0.11829173531383276,0.01318197350144801,0.7889939177334309
8,0.10701707295030355,0.11676998607814312,0.01318197350144801,0.7911292157769203
9,0.10774692557826639,0.11593989076465368,0.01318197350144801,0.7923545590937138
10,0.10641856581717729,0.11526995136588812,0.01318197350144801,0.7937883273065091
